index,daya_baterai,bluetooth,kecepatan_clock,dual_sim,kamera_depan,four_g,memori_internal,tebal_hp,berat_hp,jumlah_prosesor,kamera_belakang_mp,px_panjang,px_lebar,kapasitas_ram,panjang_layar,lebar_layar,waktu_telfon,three_g,touch_screen,wifi,price_range
330,662,0,0.5,0,5,Tidak,20,0.8,138,1,10,1001,1224,2125,17.0,15,15,0,1,1,1000k-<2000k
679,675,0,2.3,0,10,Tidak,60,0.9,144,5,15,192,757,1735,7.0,0,13,1,0,1,0-<1000k
1989,586,0,2.8,0,2,Tidak,15,0.2,83,3,11,241,854,2592,,8,3,0,0,0,1000k-<2000k
56,823,1,2.7,1,13,Tidak,60,0.5,148,8,19,822,1449,905,14.0,11,17,1,1,1,0-<1000k
1145,1635,0,2.6,1,0,Ya,2,0.6,182,4,0,1209,1411,2315,10.0,1,2,1,1,0,2000k-3000k
411,1582,0,2.8,0,2,Ya,44,0.5,112,6,13,1486,1797,3890,17.0,10,10,1,1,1,>3000k
435,954,1,0.5,0,0,Tidak,50,0.3,134,2,11,228,1058,438,17.0,0,2,1,0,0,0-<1000k
957,1754,1,2.1,1,1,Ya,52,1.0,101,4,3,199,1452,3019,11.0,6,19,1,0,1,>3000k
1584,1973,1,2.4,1,6,Tidak,46,0.1,193,4,10,699,851,639,6.0,0,3,0,0,1,0-<1000k
155,1692,0,2.3,1,4,Ya,46,0.9,139,1,6,674,1925,1394,16.0,10,6,1,1,0,1000k-<2000k
1285,1724,1,1.8,0,0,Ya,9,0.8,100,2,1,655,828,3056,18.0,16,6,1,0,0,>3000k
1002,511,1,0.6,1,12,Tidak,50,0.1,175,3,16,140,622,1484,9.0,7,8,1,0,0,0-<1000k
29,851,0,0.5,0,3,Tidak,21,0.4,200,5,7,1171,1263,478,,7,10,1,0,1,0-<1000k
35,725,0,1.3,1,16,Tidak,60,0.4,160,8,17,1134,1249,1326,10.0,4,15,1,0,0,1000k-<2000k
1982,1784,0,1.6,0,4,Tidak,41,0.4,164,6,20,610,1437,2313,14.0,1,11,0,1,0,2000k-3000k
422,1503,1,0.7,0,10,Ya,43,0.2,166,4,14,841,1304,2122,15.0,1,2,1,0,0,2000k-3000k
1819,935,1,0.5,1,3,Ya,58,0.1,155,5,12,639,1087,2473,10.0,4,9,1,0,1,2000k-3000k
1518,844,0,2.2,1,1,Ya,22,0.9,197,7,2,777,1995,3154,14.0,11,7,1,0,0,>3000k
1818,837,0,2.4,1,1,Tidak,51,0.2,104,5,15,638,1831,594,16.0,6,20,1,0,1,0-<1000k
1693,695,0,0.5,0,16,Ya,12,0.6,196,2,19,1649,1829,2855,16.0,13,7,1,1,1,2000k-3000k
358,1394,1,0.9,1,10,Ya,62,0.3,175,5,13,1010,1565,473,11.0,1,20,1,1,0,0-<1000k
1240,1994,1,0.8,1,2,Ya,7,0.6,88,8,4,667,711,454,11.0,8,6,1,1,0,0-<1000k
1431,1283,1,0.7,1,0,Ya,27,0.2,80,4,6,1135,1923,3957,17.0,15,6,1,0,0,>3000k
1280,1426,0,1.6,0,4,Ya,12,0.7,174,5,16,1573,1694,1277,14.0,9,5,1,0,0,1000k-<2000k
1648,645,0,2.5,0,10,Ya,63,1.0,174,4,14,278,584,3615,18.0,8,13,1,0,1,2000k-3000k
524,825,0,0.5,1,0,Ya,23,0.1,86,2,0,206,1917,3278,8.0,6,2,1,0,1,>3000k
1675,1630,1,2.8,1,0,Ya,32,0.9,80,6,1,712,1726,1751,,10,20,1,0,1,2000k-3000k
737,675,0,2.4,0,1,Tidak,42,0.6,187,7,2,482,874,2953,9.0,5,13,1,1,0,2000k-3000k
1224,1515,0,2.6,0,0,Ya,56,0.9,184,3,1,1438,1593,262,14.0,4,20,1,1,0,0-<1000k
265,1992,1,1.6,0,5,Ya,57,1.0,100,2,15,1552,1596,606,9.0,3,4,1,1,1,1000k-<2000k
1319,987,1,2.3,0,9,Tidak,17,0.8,124,7,17,887,1274,3885,11.0,0,14,1,1,0,>3000k
1265,503,1,1.8,1,1,Ya,13,0.7,131,1,4,1495,1688,3117,19.0,6,9,1,0,1,>3000k
1390,1726,1,1.9,0,1,Ya,42,0.6,106,5,3,1221,1804,1868,16.0,7,6,1,0,0,2000k-3000k
1680,1826,1,0.5,1,5,Ya,49,0.6,172,8,6,973,1633,1612,17.0,9,17,1,1,0,2000k-3000k
983,1175,1,1.3,0,2,Tidak,19,0.3,164,7,9,873,1394,1944,9.0,4,9,1,1,0,1000k-<2000k
863,1425,0,1.2,0,9,Ya,35,0.7,127,8,14,150,1897,590,13.0,2,6,1,1,1,0-<1000k
927,959,1,1.7,0,15,Tidak,13,0.4,155,4,16,87,736,3328,10.0,9,10,1,1,1,2000k-3000k
776,827,0,1.1,1,2,Ya,18,0.9,160,2,16,448,821,1663,14.0,0,17,1,1,1,0-<1000k
984,1261,1,0.5,1,0,Ya,11,0.2,90,4,0,858,1591,348,14.0,9,14,1,0,1,0-<1000k
1788,1424,0,0.5,1,16,Ya,23,0.6,80,4,18,1399,1663,1053,14.0,11,16,1,1,1,1000k-<2000k
548,641,1,1.1,0,0,Ya,7,0.9,192,1,3,417,759,3595,7.0,5,19,1,1,1,2000k-3000k
1852,648,1,1.8,0,1,Ya,60,0.1,195,4,4,931,1811,819,10.0,3,4,1,0,0,0-<1000k
132,645,0,0.5,0,1,Tidak,41,1.0,197,7,10,327,580,2962,,9,4,1,1,1,2000k-3000k
1866,907,1,2.6,1,7,Tidak,44,0.2,160,3,12,144,896,3911,13.0,6,8,0,0,0,>3000k
494,1225,1,2.4,0,0,Tidak,15,0.1,155,5,0,840,982,1970,16.0,8,15,1,1,0,1000k-<2000k
580,1164,0,1.0,0,4,Ya,19,0.9,95,8,18,729,1704,3309,15.0,3,3,1,0,1,>3000k
1000,594,0,0.8,0,2,Ya,28,0.1,132,5,3,1011,1263,3087,16.0,4,4,1,1,1,2000k-3000k
1809,683,1,2.1,0,7,Tidak,30,0.1,197,7,8,927,1135,2066,9.0,0,15,0,0,0,1000k-<2000k
431,1772,1,0.5,1,3,Tidak,64,0.7,116,8,15,270,545,1834,5.0,2,20,0,1,1,1000k-<2000k
1010,683,0,0.7,0,5,Tidak,19,0.9,173,4,17,954,1985,2622,16.0,3,5,0,0,1,2000k-3000k
1477,1150,1,2.7,0,0,Tidak,39,0.4,151,8,1,397,800,999,6.0,2,11,1,1,0,0-<1000k
1342,1974,0,0.5,1,9,Tidak,10,0.8,145,6,12,530,1496,1433,6.0,1,17,0,0,0,1000k-<2000k
1521,1128,1,0.5,1,6,Tidak,33,0.6,147,8,7,938,1226,1440,17.0,15,19,1,0,0,1000k-<2000k
1736,1779,1,2.6,1,2,Tidak,5,0.8,90,1,3,1225,1717,1246,,2,20,0,1,0,1000k-<2000k
1230,697,0,2.7,1,5,Ya,20,0.4,173,2,6,478,1477,259,,6,4,1,1,1,0-<1000k
40,1347,0,2.9,0,5,Tidak,44,0.6,132,1,14,434,967,2484,18.0,2,11,1,0,1,2000k-3000k
1370,1414,0,0.5,0,0,Ya,15,0.8,168,2,0,294,1233,1069,18.0,6,14,1,0,0,0-<1000k
75,819,0,0.6,1,8,Ya,42,0.9,188,6,20,339,1242,1814,5.0,4,13,1,0,1,1000k-<2000k
1290,912,1,2.8,1,6,Ya,46,0.4,84,4,11,995,1310,851,8.0,4,4,1,1,1,0-<1000k
724,696,0,0.5,0,6,Tidak,51,0.3,197,3,8,649,907,2630,18.0,8,9,0,0,1,1000k-<2000k
1175,563,0,2.0,1,3,Tidak,47,0.3,115,7,12,211,684,3012,14.0,4,15,1,0,0,2000k-3000k
1322,808,0,1.9,0,7,Tidak,20,0.8,185,6,14,496,974,1471,13.0,4,11,0,1,0,0-<1000k
247,1273,0,1.0,0,3,Ya,48,0.4,99,4,15,490,886,1767,18.0,15,11,1,1,0,1000k-<2000k
1069,1414,0,2.6,0,1,Tidak,27,0.6,137,4,20,804,1564,312,5.0,2,8,0,0,1,0-<1000k
961,1807,1,0.5,1,2,Ya,61,0.1,134,6,6,1734,1968,3726,8.0,5,15,1,0,0,>3000k
1114,781,1,1.3,1,1,Tidak,64,0.2,88,2,7,368,607,3862,17.0,10,9,0,0,0,>3000k
986,1713,0,3.0,1,5,Ya,20,0.9,104,7,17,237,890,971,11.0,10,10,1,0,0,0-<1000k
186,1266,0,0.5,0,0,Ya,5,0.1,95,6,9,1365,1698,1687,11.0,0,18,1,0,0,2000k-3000k
963,1861,1,0.9,0,4,Ya,55,0.5,148,7,8,1698,1877,601,7.0,5,4,1,0,0,1000k-<2000k
668,1677,0,1.8,1,4,Tidak,11,0.7,124,6,8,271,1477,3771,15.0,6,12,1,0,0,>3000k
820,1387,0,0.5,0,0,Ya,61,0.5,98,3,0,785,1151,629,5.0,3,11,1,1,0,0-<1000k
312,894,0,0.5,1,1,Ya,50,0.5,199,3,14,1285,1462,3615,13.0,0,6,1,0,1,>3000k
8,1445,1,0.5,0,0,Tidak,53,0.7,174,7,14,386,836,1099,17.0,1,20,1,0,0,0-<1000k
891,1652,0,0.6,1,4,Ya,40,1.0,198,7,6,352,1084,3592,7.0,6,6,1,0,0,>3000k
1796,793,1,2.8,1,1,Ya,64,0.4,179,4,2,818,1006,2296,,0,5,1,1,0,1000k-<2000k
1868,1766,1,0.5,1,1,Ya,22,0.8,122,8,4,291,1318,3297,7.0,5,16,1,0,0,>3000k
1042,1674,0,2.8,1,0,Ya,52,0.2,89,3,7,1432,1649,2030,7.0,0,6,1,0,0,2000k-3000k
996,774,0,0.5,1,2,Ya,10,0.5,188,2,9,1480,1731,2944,8.0,6,2,1,1,1,2000k-3000k
1814,713,0,1.6,0,4,Ya,63,0.7,89,2,8,103,1760,2082,15.0,10,12,1,0,0,1000k-<2000k
1387,1533,1,1.1,1,16,Ya,17,0.3,160,4,20,1054,1393,2520,8.0,2,11,1,0,1,2000k-3000k
757,554,1,1.3,0,0,Tidak,12,0.1,105,6,10,85,806,3764,10.0,7,4,0,1,1,2000k-3000k
1087,1331,0,0.5,0,8,Tidak,55,0.9,146,3,15,1162,1531,1732,6.0,2,11,1,0,1,1000k-<2000k
1517,911,0,1.4,1,3,Tidak,14,0.7,199,4,4,1563,1692,2933,16.0,3,11,0,1,0,>3000k
1335,511,1,3.0,1,5,Ya,34,0.9,125,8,13,149,1285,3265,14.0,7,14,1,0,0,2000k-3000k
1423,1333,0,1.4,0,3,Ya,59,0.7,183,7,5,394,1301,3442,18.0,16,5,1,1,0,>3000k
1686,1314,1,2.8,1,13,Ya,5,1.0,87,4,18,82,512,3411,17.0,16,18,1,0,0,>3000k
1427,1489,0,2.1,1,0,Tidak,9,0.4,169,3,1,923,1759,1663,9.0,3,14,1,0,1,1000k-<2000k
445,1608,0,1.8,1,7,Tidak,28,0.4,183,2,13,1013,1158,489,15.0,11,8,0,0,1,0-<1000k
1921,569,1,2.5,1,0,Tidak,41,0.3,124,1,1,388,605,2651,17.0,7,4,0,0,0,1000k-<2000k
1482,520,0,2.3,0,0,Ya,31,0.8,145,6,14,264,519,2753,13.0,7,17,1,0,1,1000k-<2000k
464,1067,1,2.4,1,3,Ya,40,0.6,122,8,15,494,1989,604,16.0,14,11,1,0,0,0-<1000k
1611,1310,0,2.3,1,3,Tidak,15,0.2,150,5,11,954,970,2518,18.0,17,5,0,1,1,2000k-3000k
195,1526,0,2.1,0,1,Ya,23,0.2,117,7,8,718,751,2227,18.0,10,3,1,1,0,2000k-3000k
1504,1731,1,1.4,1,4,Ya,4,0.5,163,6,18,809,1988,3892,5.0,1,4,1,1,1,>3000k
1343,835,0,0.8,1,2,Ya,42,0.8,128,5,18,396,1378,2583,15.0,2,13,1,1,1,2000k-3000k
980,1597,0,2.3,0,11,Tidak,34,0.4,89,1,14,64,1667,934,16.0,10,9,0,1,0,0-<1000k
657,1778,0,1.4,1,3,Ya,45,1.0,132,4,17,88,516,1624,15.0,13,9,1,1,0,1000k-<2000k
1210,805,1,1.7,1,0,Ya,58,0.9,168,3,10,81,1544,3397,7.0,6,2,1,0,0,2000k-3000k
785,915,0,1.1,0,6,Tidak,56,0.6,187,8,17,532,1448,905,19.0,10,12,0,1,0,0-<1000k
1897,1075,0,0.5,1,2,Tidak,11,0.2,122,1,16,271,1769,3927,8.0,3,7,1,0,0,>3000k
1183,1744,0,2.8,0,0,Ya,62,0.7,158,1,0,621,1558,345,10.0,6,14,1,0,0,0-<1000k
847,1843,1,1.8,1,13,Ya,16,0.7,134,6,18,118,580,3213,15.0,14,15,1,1,0,>3000k
533,1217,1,0.5,0,3,Tidak,17,0.5,182,4,13,628,632,1711,7.0,3,9,1,0,1,1000k-<2000k
243,1918,0,1.9,0,2,Tidak,10,0.6,110,5,10,1170,1543,1717,7.0,1,16,1,1,1,2000k-3000k
1096,1154,0,2.0,0,6,Ya,35,0.8,159,5,16,1003,1827,3262,16.0,15,16,1,0,0,>3000k
401,1042,0,2.7,1,16,Ya,50,0.8,93,7,18,727,1705,3215,18.0,0,20,1,1,1,>3000k
1049,673,1,1.7,1,3,Ya,22,0.1,88,1,5,594,1088,2050,7.0,2,17,1,1,0,1000k-<2000k
1493,1183,1,0.5,1,3,Ya,48,0.1,120,8,12,268,1010,1152,8.0,3,3,1,0,0,0-<1000k
1944,544,1,0.5,1,2,Ya,7,0.2,129,5,15,227,610,1675,13.0,4,17,1,1,0,0-<1000k
1032,1753,0,1.2,0,8,Ya,12,0.9,113,7,17,387,1595,1445,17.0,16,12,1,1,1,1000k-<2000k
1590,1640,0,0.5,1,1,Ya,36,0.9,87,8,11,664,1806,3235,6.0,1,10,1,0,1,>3000k
1582,1171,1,1.7,1,2,Tidak,19,0.3,167,7,19,248,755,263,6.0,5,8,0,0,0,0-<1000k
477,601,0,2.1,0,4,Tidak,26,0.3,101,4,18,509,548,918,9.0,1,12,0,0,0,0-<1000k
1805,534,0,0.5,1,4,Tidak,2,0.2,85,5,16,911,1220,2466,5.0,3,18,0,1,1,2000k-3000k
1904,1494,0,1.6,0,3,Ya,45,0.8,158,5,4,449,790,3208,11.0,9,4,1,0,0,>3000k
1140,802,0,0.5,1,3,Tidak,43,0.6,153,5,6,527,734,3063,17.0,13,4,0,1,0,2000k-3000k
1001,1524,0,2.6,1,5,Tidak,57,0.5,124,2,12,629,635,947,11.0,4,16,0,1,1,0-<1000k
1017,1221,0,0.5,0,1,Ya,28,0.5,139,1,7,1895,1976,2438,13.0,11,10,1,1,1,>3000k
285,1172,0,1.9,0,0,Ya,27,0.7,164,1,3,607,1092,1477,,0,6,1,0,0,1000k-<2000k
471,1948,0,2.8,1,8,Tidak,16,0.1,100,5,10,631,1940,3630,9.0,7,17,0,1,0,>3000k
1388,1924,0,0.5,0,3,Ya,63,0.3,111,2,10,122,686,3423,13.0,3,19,1,0,0,>3000k
1057,980,1,0.5,0,0,Ya,33,0.9,160,6,0,1008,1758,2268,7.0,5,4,1,1,0,2000k-3000k
1817,1541,1,,1,6,Ya,5,0.5,109,4,10,536,1656,1795,7.0,3,4,1,1,1,1000k-<2000k
1550,1280,1,1.3,0,0,Ya,39,1.0,108,7,1,356,588,2335,6.0,4,2,1,0,1,1000k-<2000k
946,1625,1,0.5,1,2,Ya,50,0.1,107,8,17,8,1219,670,16.0,3,8,1,0,0,0-<1000k
1984,797,0,2.2,1,0,Tidak,37,0.9,144,7,2,206,1167,2216,9.0,5,6,1,0,0,1000k-<2000k
1525,1517,0,2.5,0,2,Ya,8,0.8,169,4,18,570,1645,2738,18.0,16,12,1,0,0,2000k-3000k
1255,1039,0,0.6,0,5,Ya,6,0.1,136,6,8,62,544,3212,15.0,7,7,1,0,1,2000k-3000k
1774,579,1,2.5,0,3,Tidak,7,1.0,89,8,10,808,1517,2908,,4,11,0,0,1,2000k-3000k
1031,1983,1,0.5,1,3,Tidak,43,1.0,87,6,10,349,676,2775,9.0,4,3,0,1,1,2000k-3000k
1932,718,1,1.6,1,1,Ya,30,0.4,93,3,12,662,997,1601,10.0,9,12,1,1,1,1000k-<2000k
1909,955,1,0.5,0,2,Tidak,2,0.6,155,4,10,428,1254,1974,14.0,1,18,1,1,0,1000k-<2000k
1700,742,1,0.5,0,0,Ya,36,0.7,139,3,1,1161,1288,292,8.0,0,6,1,1,1,0-<1000k
1864,1220,1,2.8,0,1,Tidak,54,0.7,109,7,20,383,1249,1037,6.0,4,15,1,0,0,0-<1000k
426,1190,1,2.2,1,9,Tidak,47,0.3,186,6,10,1417,1441,624,9.0,3,19,1,1,1,0-<1000k
1614,1001,0,2.8,1,1,Tidak,40,0.2,117,3,7,922,1836,3654,13.0,9,10,1,1,1,>3000k
1013,1694,0,1.8,0,0,Tidak,53,1.0,186,6,0,1194,1208,1653,7.0,5,6,1,0,0,2000k-3000k
1880,1720,0,1.6,0,16,Ya,2,0.8,188,5,20,334,896,2522,10.0,5,2,1,0,1,2000k-3000k
661,1897,0,3.0,0,1,Ya,21,0.5,192,8,2,1311,1935,273,17.0,6,3,1,1,1,0-<1000k
875,1413,0,0.6,0,0,Ya,13,0.1,128,1,0,1323,1481,515,5.0,0,18,1,1,0,0-<1000k
1923,1056,1,2.1,1,8,Ya,37,0.7,101,3,11,914,979,2651,15.0,5,3,1,1,1,2000k-3000k
162,1296,0,0.9,1,0,Ya,14,0.5,124,5,3,811,1272,490,7.0,1,4,1,1,1,0-<1000k
1349,1576,1,0.9,1,0,Ya,14,0.4,173,2,4,1213,1386,3220,17.0,2,6,1,1,0,>3000k
940,1456,0,1.6,1,9,Ya,39,0.1,80,8,10,815,1666,3998,6.0,3,13,1,1,0,>3000k
944,674,1,2.8,1,0,Ya,8,0.2,93,3,0,750,772,589,18.0,6,4,1,1,0,0-<1000k
1288,1541,1,2.8,1,10,Ya,28,0.2,165,5,15,796,1052,1108,,1,7,1,0,1,1000k-<2000k
646,543,1,0.5,1,4,Ya,60,0.7,132,5,7,693,1031,933,14.0,0,5,1,1,0,0-<1000k
924,1966,0,0.8,1,15,Ya,48,0.2,144,1,16,1242,1973,1252,6.0,4,19,1,1,1,2000k-3000k
678,1793,0,1.8,1,10,Tidak,12,0.5,169,6,17,1086,1418,3533,16.0,14,15,1,1,1,>3000k
1883,1205,1,2.7,0,5,Tidak,10,0.1,163,6,10,321,1870,953,18.0,11,20,0,1,1,0-<1000k
1928,1283,1,2.4,1,8,Ya,33,1.0,93,3,15,510,980,773,17.0,7,2,1,1,0,0-<1000k
194,640,0,0.6,0,0,Tidak,20,0.1,163,4,15,710,1179,2844,7.0,5,18,1,1,0,2000k-3000k
752,1620,0,2.6,1,6,Tidak,5,0.9,186,6,18,434,1339,1086,18.0,14,13,1,0,0,1000k-<2000k
474,1968,0,0.9,0,0,Tidak,22,0.8,115,3,7,861,1259,2323,9.0,8,7,0,0,1,2000k-3000k
1765,765,1,2.5,0,3,Tidak,44,0.3,88,8,11,1364,1851,2256,6.0,1,19,0,1,1,2000k-3000k
720,1702,1,2.3,0,12,Ya,52,0.5,145,2,15,1397,1491,2501,16.0,12,4,1,0,0,>3000k
569,1366,1,0.7,1,0,Ya,34,0.1,150,2,9,402,964,3501,13.0,11,3,1,0,0,>3000k
1428,1823,0,2.8,1,11,Tidak,10,0.6,81,8,19,362,1250,1812,5.0,0,19,1,1,1,2000k-3000k
49,596,0,2.1,1,9,Tidak,64,0.8,111,8,15,885,1854,3238,16.0,13,10,0,0,0,>3000k
1840,1564,0,,1,1,Tidak,42,0.7,108,2,2,1619,1962,3376,7.0,0,7,0,1,0,>3000k
913,1763,0,2.9,1,1,Ya,53,0.2,101,4,20,138,806,2066,,9,17,1,1,1,1000k-<2000k
644,1715,0,1.9,0,4,Ya,3,0.1,171,5,6,79,1652,514,7.0,4,13,1,0,0,0-<1000k
722,1156,0,0.5,0,6,Tidak,61,0.1,89,7,9,1214,1262,1796,16.0,6,13,0,1,1,1000k-<2000k
110,783,0,1.8,1,0,Ya,43,1.0,106,3,4,1198,1471,2016,16.0,4,18,1,1,0,1000k-<2000k
1807,713,0,1.4,1,4,Tidak,53,0.8,98,1,17,123,1477,1462,19.0,18,13,1,0,1,0-<1000k
1585,1992,1,0.6,1,11,Tidak,2,0.1,141,1,14,649,895,3206,10.0,9,10,1,1,0,>3000k
1941,1522,0,2.2,0,4,Tidak,21,0.7,162,6,11,533,1696,3767,15.0,9,16,0,0,1,>3000k
589,1219,0,1.0,1,0,Tidak,17,0.7,196,5,4,473,1022,705,11.0,3,6,0,1,1,0-<1000k
1394,1004,0,1.6,1,0,Ya,30,1.0,160,8,1,62,581,1012,7.0,4,13,1,1,1,0-<1000k
1499,1742,1,0.5,1,5,Ya,43,0.9,176,3,7,356,1407,1921,9.0,2,3,1,1,0,2000k-3000k
44,1195,1,2.8,0,1,Ya,20,0.8,110,2,14,1580,1652,504,9.0,3,12,1,1,0,0-<1000k
1997,1911,0,0.9,1,1,Ya,36,0.7,108,8,3,868,1632,3057,9.0,1,5,1,1,0,>3000k
245,1373,1,1.0,1,2,Tidak,50,0.2,127,7,12,105,673,3800,8.0,3,14,1,0,0,>3000k
1688,673,1,1.9,0,13,Ya,35,0.4,142,6,14,1096,1570,3541,18.0,17,4,1,0,1,>3000k
300,1937,1,1.7,0,16,Tidak,58,0.6,189,1,19,1728,1767,3321,5.0,4,14,1,1,0,>3000k
1029,1658,1,1.4,1,0,Ya,38,0.3,159,5,0,51,739,2609,,11,19,1,0,0,2000k-3000k
583,1813,1,0.6,1,0,Ya,5,0.2,198,3,8,338,1306,759,9.0,3,14,1,1,0,0-<1000k
788,1501,0,1.1,0,12,Ya,2,0.2,187,1,15,198,1056,2487,13.0,12,16,1,1,1,2000k-3000k
1748,936,1,2.3,0,5,Ya,57,0.2,129,2,6,657,938,2049,,8,5,1,1,0,1000k-<2000k
269,1281,1,2.3,1,0,Tidak,28,0.3,148,1,6,1285,1617,1129,,1,6,0,1,0,1000k-<2000k
1953,727,1,2.5,1,0,Ya,64,0.2,193,1,9,664,711,3654,9.0,1,16,1,1,0,>3000k
1409,851,0,2.3,1,7,Ya,54,1.0,101,2,9,788,1007,1005,,2,14,1,0,1,0-<1000k
313,645,0,1.2,0,6,Ya,41,0.7,184,8,17,741,1130,714,18.0,2,13,1,1,0,0-<1000k
1364,1012,0,0.5,1,4,Tidak,39,0.1,161,4,6,882,1195,2802,8.0,0,10,1,1,0,2000k-3000k
283,659,0,2.7,0,6,Ya,6,0.5,110,3,7,1054,1929,2044,15.0,5,2,1,0,1,1000k-<2000k
1404,1447,0,0.5,0,3,Tidak,40,0.7,184,2,5,963,1062,471,8.0,4,20,0,0,1,0-<1000k
540,504,1,0.5,1,5,Tidak,16,0.1,166,1,9,767,1665,701,17.0,15,15,1,0,1,0-<1000k
911,1284,1,2.8,1,0,Tidak,10,0.9,155,2,14,160,516,2197,16.0,2,9,0,1,1,1000k-<2000k
938,894,0,0.9,0,5,Ya,54,0.2,130,3,15,104,541,2829,11.0,5,13,1,0,1,2000k-3000k
406,1007,0,2.0,0,0,Tidak,45,0.1,95,5,2,1186,1529,3648,9.0,0,16,0,0,0,>3000k
1523,1650,0,2.3,0,0,Ya,38,0.7,89,1,1,773,881,324,14.0,10,2,1,1,1,0-<1000k
338,1391,0,1.4,0,2,Ya,36,0.8,182,1,6,14,1256,3139,14.0,7,14,1,1,0,2000k-3000k
466,1653,0,0.5,1,2,Ya,37,0.9,176,4,6,447,1785,3955,19.0,4,18,1,1,1,>3000k
363,879,0,,1,0,Ya,21,0.8,187,4,2,463,1038,2927,14.0,13,11,1,0,1,2000k-3000k
1122,1871,0,2.1,0,4,Ya,41,0.4,144,8,5,275,1966,2727,15.0,8,11,1,0,0,>3000k
818,1320,0,0.5,1,7,Tidak,48,0.2,168,5,16,103,1583,2893,8.0,5,9,0,0,1,2000k-3000k
997,1068,0,0.5,1,0,Ya,19,0.9,197,8,9,322,875,1209,19.0,12,12,1,1,0,0-<1000k
320,728,0,1.7,1,0,Ya,5,0.6,101,2,20,584,775,834,16.0,0,5,1,1,0,0-<1000k
1553,891,0,1.9,1,1,Ya,18,0.1,153,6,3,40,1435,1303,17.0,16,4,1,1,1,0-<1000k
1228,1820,1,1.7,1,0,Ya,64,0.6,161,1,3,1157,1951,574,10.0,2,18,1,1,0,1000k-<2000k
1236,1794,1,0.5,1,5,Ya,55,0.5,86,7,7,43,627,402,14.0,7,14,1,0,1,0-<1000k
1328,507,1,1.9,1,0,Ya,39,0.7,142,1,0,17,1084,2124,6.0,0,12,1,1,0,1000k-<2000k
70,1448,1,0.5,1,6,Ya,45,0.8,138,7,11,570,1724,3378,13.0,11,2,1,1,1,>3000k
1652,626,1,2.8,1,3,Ya,11,0.8,109,2,9,737,1759,1077,6.0,1,4,1,0,1,0-<1000k
1486,1143,0,1.2,1,1,Ya,22,1.0,125,3,6,1116,1724,1214,,5,16,1,1,0,1000k-<2000k
500,1278,1,0.5,1,1,Tidak,54,0.1,104,8,16,581,750,1155,7.0,1,20,0,0,1,0-<1000k
10,769,1,2.9,1,0,Tidak,9,0.1,182,5,1,248,874,3946,5.0,2,7,0,0,0,>3000k
685,1362,0,0.5,0,3,Tidak,25,0.8,131,7,9,553,1505,995,7.0,6,18,0,1,1,0-<1000k
1505,852,0,1.8,1,5,Ya,8,0.8,160,5,9,683,1349,315,7.0,6,20,1,0,0,0-<1000k
505,1846,1,0.6,0,1,Tidak,19,0.7,159,1,2,83,773,1333,15.0,6,11,0,1,1,1000k-<2000k
1572,895,0,0.5,1,6,Tidak,16,0.3,164,8,14,126,1575,3122,7.0,0,4,0,0,1,2000k-3000k
1036,688,0,2.5,1,0,Tidak,57,0.8,131,7,3,426,1964,3745,17.0,1,4,0,1,0,>3000k
83,1008,0,0.8,0,11,Tidak,61,1.0,114,3,15,1077,1122,2009,10.0,3,11,1,0,0,1000k-<2000k
1307,831,0,1.7,1,7,Ya,26,0.7,177,5,11,511,621,1704,6.0,5,20,1,1,1,0-<1000k
1770,1946,0,2.7,1,8,Tidak,8,0.3,123,8,19,647,1849,3117,6.0,0,2,1,0,0,>3000k
1912,695,0,1.2,0,1,Ya,41,0.4,169,8,8,789,1211,2282,5.0,2,17,1,1,0,1000k-<2000k
64,702,0,2.6,1,2,Ya,9,0.7,141,3,3,504,1570,2955,10.0,4,19,1,0,0,2000k-3000k
1115,501,1,0.5,1,14,Tidak,22,0.5,174,6,20,239,1636,3077,17.0,3,17,0,0,0,2000k-3000k
1414,1550,1,2.7,0,2,Tidak,32,0.1,126,7,5,1541,1619,1571,,3,14,0,0,0,2000k-3000k
1903,1361,1,1.4,0,1,Tidak,47,1.0,169,5,2,881,1382,2495,8.0,7,16,0,0,1,2000k-3000k
1712,1783,1,0.5,0,8,Tidak,14,0.6,183,8,11,910,1566,1816,,7,7,0,0,1,2000k-3000k
416,912,1,2.0,0,1,Tidak,54,0.3,161,8,5,329,1053,2330,19.0,5,20,0,1,0,1000k-<2000k
1309,1433,1,2.3,0,2,Ya,5,0.1,129,5,11,420,784,2132,18.0,15,19,1,0,1,1000k-<2000k
1166,999,1,1.8,1,0,Ya,27,0.1,167,4,1,20,745,1344,17.0,10,5,1,0,0,0-<1000k
979,1866,1,2.5,1,3,Ya,47,0.8,89,5,9,358,1782,1444,7.0,4,20,1,0,0,1000k-<2000k
205,765,0,0.5,1,0,Ya,47,0.3,115,8,1,1277,1429,2243,11.0,7,4,1,0,1,2000k-3000k
328,1430,0,0.5,1,1,Tidak,27,0.5,183,1,16,1132,1182,2832,7.0,1,15,0,1,1,2000k-3000k
808,1852,0,1.4,0,4,Ya,10,0.7,196,1,18,580,1163,3970,13.0,1,11,1,0,1,>3000k
486,1089,1,0.9,1,12,Ya,2,0.7,145,5,15,636,1259,2765,13.0,12,10,1,0,1,2000k-3000k
